Gyro_X,Gyro_Y,Time,Gesture,Type
-101.38,-24.86,350,71,L
-121.80,-66.46,400,71,L
-61.98,-86.87,450,71,L
-72.67,31.04,0,72,L
-194.13,-3.75,50,72,L
-135.73,-17.79,100,72,L
-105.02,-29.71,150,72,L
-74.24,-59.57,200,72,L
-100.43,-27.58,250,72,L
-102.07,-25.70,300,72,L
-154.37,-31.31,350,72,L
-144.28,-60.97,400,72,L
-106.97,-58.77,450,72,L
-42.62,6.77,0,73,L
-45.55,2.52,50,73,L
-56.48,7.68,100,73,L
-90.31,2.93,150,73,L
-61.41,2.17,200,73,L
-77.27,0.41,250,73,L
-79.98,-5.94,300,73,L
-86.20,-4.33,350,73,L
-67.03,-2.37,400,73,L
-64.38,-9.44,450,73,L
-91.64,13.53,0,74,L
-45.74,-11.36,50,74,L
-104.05,-0.73,100,74,L
-52.96,-13.83,150,74,L
-73.71,-4.97,200,74,L
-49.19,-7.37,250,74,L
-64.16,-1.34,300,74,L
-56.06,-2.39,350,74,L
-206.96,-2.81,400,74,L
-119.97,-8.27,450,74,L
-45.12,14.35,0,75,L
-74.18,16.50,50,75,L
-71.95,14.11,100,75,L
-111.32,4.21,150,75,L
-112.51,22.23,200,75,L
-126.45,3.03,250,75,L
-94.80,1.81,300,75,L
-103.54,9.36,350,75,L
-55.11,-6.05,400,75,L
-86.09,-2.65,450,75,L
-47.92,-0.56,0,76,L
-125.42,-0.27,50,76,L
-110.13,7.59,100,76,L
-182.73,8.93,150,76,L
-98.41,-7.29,200,76,L
-123.92,-3.25,250,76,L
-109.56,-26.61,300,76,L
-125.02,-23.87,350,76,L
-117.45,-18.98,400,76,L
-99.64,-13.45,450,76,L
0.25,6.19,0,78,U
-10.94,2.20,50,78,U
-11.63,10.03,100,78,U
-7.15,2.65,150,78,U
-2.87,0.95,200,78,U
10.48,1.73,250,78,U
7.50,-0.13,300,78,U
3.55,-2.89,350,78,U
-9.16,4.69,400,78,U
-22.54,4.45,450,78,U
4.45,-50.01,0,80,U
-0.25,-96.66,50,80,U
-10.58,-100.12,100,80,U
18.51,-132.29,150,80,U
-19.67,-76.78,200,80,U
-13.87,-38.42,250,80,U
-18.45,-63.67,300,80,U
-11.65,-89.01,350,80,U
-13.43,-89.13,400,80,U
17.49,-92.72,450,80,U
-22.41,-79.53,0,81,U
-11.55,-94.59,50,81,U
-29.32,-77.64,100,81,U
8.13,-87.30,150,81,U
-24.47,-19.43,200,81,U
-7.17,-23.82,250,81,U
2.82,-9.98,300,81,U
-1.49,-27.59,350,81,U
-0.97,-17.37,400,81,U
8.27,10.95,450,81,U
-32.00,-34.23,0,82,U
-3.33,-59.53,50,82,U
-25.80,-60.75,100,82,U
9.13,-76.43,150,82,U
-6.57,-67.88,200,82,U
-2.69,-93.71,250,82,U
-3.43,-102.79,300,82,U
18.99,-81.12,350,82,U
18.99,-87.04,400,82,U
10.36,-39.51,450,82,U
19.38,-38.97,0,83,U
8.37,-72.63,50,83,U
16.57,-53.40,100,83,U
12.88,-64.95,150,83,U
12.37,-65.07,200,83,U
3.91,-58.42,250,83,U
3.23,-50.99,300,83,U
-5.95,-60.53,350,83,U
12.45,-31.21,400,83,U
-6.48,-41.25,450,83,U
10.37,-60.01,0,84,U
9.74,-80.27,50,84,U
16.26,-100.63,100,84,U
11.19,-69.90,150,84,U
4.22,-72.97,200,84,U
15.61,-40.38,250,84,U
-3.75,-48.72,300,84,U
9.32,-34.73,350,84,U
3.49,-51.04,400,84,U
5.79,-27.01,450,84,U
-2.73,-15.71,0,85,U
-18.08,-75.80,50,85,U
9.89,-91.75,100,85,U
3.96,-75.67,150,85,U
9.96,-70.59,200,85,U
-3.85,-51.36,250,85,U
15.71,-47.03,300,85,U
15.78,-59.06,350,85,U
56.85,-53.08,400,85,U
12.67,-99.81,450,85,U
-7.98,-39.65,0,86,U
21.69,-71.82,50,86,U
-7.17,-63.24,100,86,U
14.81,-80.58,150,86,U
15.01,-70.93,200,86,U
16.79,-95.60,250,86,U
24.22,-80.79,300,86,U
15.53,-67.10,350,86,U
17.77,-58.11,400,86,U
10.16,-48.13,450,86,U
-9.90,-66.41,0,87,U
-4.19,-60.85,50,87,U
-11.01,-66.79,100,87,U
8.96,-76.38,150,87,U
-5.75,-60.05,200,87,U
31.83,-72.53,250,87,U
-9.94,-44.38,300,87,U
7.86,-37.93,350,87,U
17.86,-74.13,400,87,U
31.13,-20.96,450,87,U
42.65,-187.85,0,88,U
79.74,-164.76,50,88,U
24.67,-118.15,100,88,U
28.53,-111.69,150,88,U
-1.71,-57.59,200,88,U
10.67,-54.43,250,88,U
-12.22,-80.45,300,88,U
7.58,-72.99,350,88,U
-10.29,-64.95,400,88,U
27.39,-75.63,450,88,U
-6.82,-61.78,0,89,U
-7.61,-67.60,50,89,U
-0.43,-108.95,100,89,U
-11.03,-13.97,150,89,U
-25.47,-66.29,200,89,U
1.67,-51.32,250,89,U
-0.09,-53.10,300,89,U
