Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
3.62,4.94,8.22,-95.65,27.60,31.48,150,25,D
2.99,4.19,8.27,-94.54,57.41,13.08,200,25,D
2.80,3.59,11.49,-91.46,51.14,1.84,250,25,D
1.77,2.79,10.61,-86.29,68.98,11.10,300,25,D
-0.00,1.94,11.03,-75.73,48.67,0.94,350,25,D
0.94,0.78,12.61,-40.95,20.00,2.11,400,25,D
0.85,1.35,12.07,-14.85,58.07,-7.84,450,25,D
0.06,3.62,9.14,-138.53,-9.20,51.22,0,26,D
3.52,2.19,8.02,-133.96,24.49,37.94,50,26,D
2.44,2.06,12.00,-114.82,33.09,23.17,100,26,D
1.55,1.35,13.54,-84.69,1.54,2.91,150,26,D
1.69,0.41,13.63,-35.42,14.47,-6.94,200,26,D
0.56,0.05,12.59,-11.15,41.50,-14.08,250,26,D
1.54,0.23,10.49,6.03,66.89,-13.90,300,26,D
0.71,1.01,10.06,9.06,64.41,-23.44,350,26,D
0.63,1.07,10.70,-0.82,21.46,-23.86,400,26,D
-0.95,0.74,11.97,7.96,-0.15,-19.89,450,26,D
-0.92,5.77,4.93,-133.64,12.85,8.26,0,27,D
-2.44,5.17,9.37,-193.50,-25.34,25.00,50,27,D
-0.15,4.21,9.03,-170.38,-74.91,74.58,100,27,D
0.34,2.72,13.26,-156.69,13.49,62.54,150,27,D
2.42,1.28,12.18,-106.64,73.34,16.20,200,27,D
1.88,0.49,13.10,-36.85,80.54,-5.65,250,27,D
-1.18,1.02,11.53,46.46,43.57,-30.25,300,27,D
-0.67,1.79,10.04,68.73,25.98,-34.48,350,27,D
-1.59,2.47,9.06,58.62,59.00,-42.28,400,27,D
-2.08,2.78,8.94,47.33,50.65,-41.39,450,27,D
-1.69,1.67,8.93,-177.86,-48.32,0.02,0,28,D
0.59,0.00,9.94,-194.73,-43.99,-4.76,50,28,D
-1.18,-1.74,12.35,-166.76,-49.17,-11.12,100,28,D
0.19,-2.34,12.36,-136.55,-15.54,-16.90,150,28,D
-1.39,-2.85,11.21,-89.09,11.81,-4.28,200,28,D
-0.69,-3.05,10.41,-75.07,-17.76,5.62,250,28,D
0.04,-3.48,10.24,-57.82,-0.26,18.01,300,28,D
-0.10,-3.51,10.33,-47.58,-1.20,9.24,350,28,D
1.95,-4.34,10.54,-28.09,27.54,3.07,400,28,D
0.91,-3.70,11.22,6.10,17.94,-13.89,450,28,D
0.56,3.07,5.81,-136.07,-28.28,3.55,0,29,D
-0.64,1.86,11.33,-161.83,-70.36,-13.17,50,29,D
-0.19,0.34,10.17,-142.90,-7.13,-22.06,100,29,D
0.40,-0.22,11.40,-120.26,-1.05,-20.74,150,29,D
-0.51,-1.57,11.17,-95.80,-8.79,-11.31,200,29,D
-1.04,-1.84,11.18,-81.82,-2.00,7.18,250,29,D
0.28,-2.43,10.61,-64.97,-13.49,10.64,300,29,D
-0.15,-2.59,10.35,-54.12,-3.23,3.37,350,29,D
0.10,-2.90,9.66,-55.05,-10.73,3.35,400,29,D
0.37,-3.70,10.21,-39.10,-7.02,5.07,450,29,D
-2.68,3.37,7.92,-73.46,-41.05,-24.23,0,30,D
-3.10,2.35,9.60,-94.85,-34.60,-31.71,50,30,D
-2.22,1.84,9.41,-88.78,-52.41,-22.65,100,30,D
-2.66,1.15,9.73,-90.46,-40.25,-15.99,150,30,D
-0.89,0.72,10.43,-85.00,-18.84,-10.25,200,30,D
-2.02,0.02,10.62,-77.84,-23.64,-5.59,250,30,D
-1.04,-0.51,10.38,-72.01,-10.41,-6.87,300,30,D
-1.46,-1.25,10.32,-64.39,-19.58,2.83,350,30,D
-1.74,-1.51,10.69,-57.50,-2.20,12.21,400,30,D
-0.83,-1.85,9.78,-42.95,-10.70,10.77,450,30,D
-1.13,4.34,6.82,1.98,30.57,-6.23,0,31,D
