Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-7044,13500,8392,8172,-20593,-1386,50,26,R
-7628,17536,10028,3167,-26107,7729,100,26,R
804,13980,13224,11912,-32768,7000,150,26,R
-4732,16616,10224,21535,-29627,-4675,200,26,R
-6476,14784,4332,14228,-26033,206,250,26,R
-9504,13520,-40,7451,-14316,3333,300,26,R
-9720,11148,-2276,4101,2200,1760,350,26,R
-6884,11860,-780,-4114,15683,630,400,26,R
-3188,15132,1380,-5442,24168,465,450,26,R
-7876,4568,12372,4878,-8565,-6446,0,27,R
-5404,3780,15640,6342,4678,-16441,50,27,R
-5860,8128,17580,5083,-14600,-6739,100,27,R
-10108,5020,14592,7637,-9365,-9021,150,27,R
-8708,6672,14944,1446,-10411,-4395,200,27,R
-4676,8044,14780,8949,-8543,-7544,250,27,R
-11404,12840,12960,-3179,-10513,5081,300,27,R
5812,10936,21008,18403,-11046,-3837,350,27,R
-11008,9672,14180,-6115,-30013,15261,400,27,R
-404,10124,8784,15238,-19531,-1726,450,27,R
-4660,3296,21100,14021,-6742,-11827,0,28,R
-6116,4516,18648,9695,-17035,-14504,50,28,R
-6664,292,17404,10915,-32768,-8544,100,28,R
-14180,4964,7064,-1033,-14924,-20250,150,28,R
-5124,10432,17008,6195,-2515,-24147,200,28,R
-2400,8188,32767,15021,-31790,-13388,250,28,R
-14932,13804,14484,0,-32768,5439,300,28,R
-13052,8968,2096,11515,-10066,-7901,350,28,R
-9016,15040,8412,-10165,-4130,10637,400,28,R
-4380,14796,9840,15962,11288,12099,450,28,R
-10320,7848,15740,9922,-3397,-30516,0,29,R
-14816,9960,11280,20041,-32768,-3425,50,29,R
-12920,84,5780,7361,11709,-22015,100,29,R
-7788,12424,16288,2359,-22412,-554,150,29,R
-12100,3804,12060,12988,404,-13979,200,29,R
-10212,9836,11240,-396,-17710,-1791,250,29,R
-9820,7392,10896,6237,-8800,-7659,300,29,R
-5088,8852,17356,7207,-12725,-6850,350,29,R
-10328,7820,15516,11861,-26327,737,400,29,R
-13520,9868,7244,15393,-11397,-5394,450,29,R
-7096,5652,13304,-1865,230,464,0,30,R
-6072,5916,13216,924,1888,-978,50,30,R
-7760,5792,14476,-2423,-305,3266,100,30,R
-9224,7544,13440,6569,8344,2578,150,30,R
-3988,2932,16748,23762,19451,-13271,200,30,R
852,2452,14824,487,-13557,-443,250,30,R
-13280,3292,14252,1644,-677,-14265,300,30,R
2596,796,32767,32767,3344,-32768,350,30,R
-11476,-2196,32767,30033,-32768,5357,400,30,R
-32768,-7632,25508,13187,-32768,19624,450,30,R
6576,3772,20456,1435,-1275,-1161,0,32,U      
5388,5620,22712,1582,8559,31,50,32,U
4716,5844,21048,-2152,9795,-1995,100,32,U    
3748,4196,18884,-4669,12790,-3888,150,32,U   
1708,3352,17632,-3324,13315,-4106,200,32,U   
-1224,3224,17512,-2805,9047,-287,250,32,U    
-268,3060,17536,-1723,6050,28,300,32,U       
-2240,3580,16088,-1399,4679,977,350,32,U     
-1544,2120,14488,-2051,-1377,3522,400,32,U   
-824,1060,12208,-3920,-1734,1488,450,32,U    
5524,3548,18524,-1842,8028,-579,0,33,U
3220,3352,18608,-1804,2667,2184,50,33,U
4784,2860,17604,-1544,1346,2128,100,33,U
4712,2356,16984,-1002,3130,776,150,33,U
4144,2036,15552,-1732,-937,3289,200,33,U
3148,1940,15396,-300,-599,1705,250,33,U
4736,2084,15684,-266,1055,-1670,300,33,U
3928,2028,15180,-1318,1374,-1859,350,33,U
2056,1924,14376,-3199,1053,-1936,400,33,U
4024,788,13968,-2499,-2902,1200,450,33,U
4140,5132,21812,-1818,1678,-741,0,34,U
4348,3428,20408,-1275,4711,-2569,50,34,U
5240,1860,18272,-2791,828,-224,100,34,U
5656,632,16840,-1325,5296,-2044,150,34,U
3560,260,15536,-116,1111,2181,200,34,U
4692,1072,15924,1843,189,1765,250,34,U
4428,2728,16280,854,4465,-1517,300,34,U
388,8272,12048,-2948,3067,-1869,350,34,U
2544,1976,14580,-2361,-301,519,400,34,U
1232,1332,12008,-4521,1382,-1911,450,34,U
6576,2632,16092,538,-1404,-153,0,35,U
7856,3732,18928,2034,-1829,-1771,50,35,U
7660,4864,19448,-1059,3772,-192,100,35,U
7888,5084,20604,-1567,6077,1069,150,35,U
6104,5004,21308,-603,8319,-1778,200,35,U
4420,4840,20340,-3615,9038,290,250,35,U
4552,3364,18104,-4854,4711,1943,300,35,U
4248,2264,16644,-4146,3712,1081,350,35,U
5056,1376,13876,-6463,4465,-1109,400,35,U
3292,-196,12072,-6902,5546,-2985,450,35,U
5248,2024,19912,-2223,9550,-1577,0,36,U
4180,2344,19176,-2156,8000,-1132,50,36,U
3940,1680,17296,-3333,7266,-925,100,36,U
1640,656,16188,-2838,5266,-156,150,36,U
2092,496,15156,-2215,-1166,3006,200,36,U
3120,-640,14228,-2227,168,1663,250,36,U
2616,-292,14044,-1919,2303,-698,300,36,U
1880,-376,13800,-1880,477,153,350,36,U
1636,-640,13428,-2798,2627,-1478,400,36,U
536,-1012,12412,-2763,1775,-851,450,36,U
4900,3364,18772,-477,4193,-1134,0,37,U
4952,2792,18880,-613,7436,-2750,50,37,U
3448,3516,18932,-601,7819,-2361,100,37,U
2476,2660,17776,-2409,4262,-764,150,37,U
3856,2188,16156,-3171,3172,294,200,37,U
2472,1344,15312,-2385,2183,-652,250,37,U
2948,1392,14328,-3959,736,160,300,37,U
2632,524,14320,-3634,2847,-1742,350,37,U
1772,-440,14232,-3933,1499,-638,400,37,U
604,-916,13664,-2393,1176,-935,450,37,U
